date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:01:46	12751/12751	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2022:01:45%20GMT	http://127.0.0.1:8000/robots.txt		(from )
01:01:47	17082/17082	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:46%20GMT	http://127.0.0.1:8000/en/	./static_site/127.0.0.1_8000/en/index.html	(from )
01:01:47	15345/15345	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2022:01:47%20GMT	http://127.0.0.1:8000/en/js/vendor/jquery-1.11.2.min.js	./static_site/127.0.0.1_8000/en/js/vendor/jquery-1.11.2.min.0.delayed	(from http://127.0.0.1:8000/en/)
01:01:49	43067/43067	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:49%20GMT	http://127.0.0.1:8000/en/our-blogs/	./static_site/127.0.0.1_8000/en/our-blogs/index.html	(from http://127.0.0.1:8000/en/)
01:01:49	15387/15387	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Sep%202024%2022:01:49%20GMT	http://127.0.0.1:8000/en/our-blogs/js/vendor/jquery-1.11.2.min.js	./static_site/127.0.0.1_8000/en/our-blogs/js/vendor/jquery-1.11.2.min.1.delayed	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:52	26313/26313	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:51%20GMT	http://127.0.0.1:8000/en/our-blogs/orthodontic-treatments-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/orthodontic-treatments-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:52	26191/26191	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:51%20GMT	http://127.0.0.1:8000/en/our-blogs/full-mouth-restoration-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/full-mouth-restoration-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:52	26160/26160	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:52%20GMT	http://127.0.0.1:8000/en/our-blogs/veneers-vs-crowns-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/veneers-vs-crowns-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:52	26196/26196	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:52%20GMT	http://127.0.0.1:8000/en/our-blogs/all-on-4-implants-turkey-guide/	./static_site/127.0.0.1_8000/en/our-blogs/all-on-4-implants-turkey-guide/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:53	26315/26315	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:52%20GMT	http://127.0.0.1:8000/en/our-blogs/dental-bridges-turkey-guide/	./static_site/127.0.0.1_8000/en/our-blogs/dental-bridges-turkey-guide/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:55	26344/26344	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:54%20GMT	http://127.0.0.1:8000/en/our-blogs/teeth-whitening-turkey-guide/	./static_site/127.0.0.1_8000/en/our-blogs/teeth-whitening-turkey-guide/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:55	26078/26078	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:54%20GMT	http://127.0.0.1:8000/en/our-blogs/dental-materials-equipment-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/dental-materials-equipment-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:55	26192/26192	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:54%20GMT	http://127.0.0.1:8000/en/our-blogs/length-of-stay-dental-treatment-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/length-of-stay-dental-treatment-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:55	26478/26478	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:55%20GMT	http://127.0.0.1:8000/en/our-blogs/dental-tourism-laws-regulations-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/dental-tourism-laws-regulations-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:57	26085/26085	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:55%20GMT	http://127.0.0.1:8000/en/our-blogs/overcharged-dental-treatment-turkey/	./static_site/127.0.0.1_8000/en/our-blogs/overcharged-dental-treatment-turkey/index.html	(from http://127.0.0.1:8000/en/our-blogs/)
01:01:57	43177/43177	---M--	200	added ('OK')	text/html	date:Sun,%2029%20Sep%202024%2022:01:57%20GMT	http://127.0.0.1:8000/en/our-blogs/?page=2	./static_site/127.0.0.1_8000/en/our-blogs/index4658.html	(from http://127.0.0.1:8000/en/our-blogs/)
