date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:15	2806/2806	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2030%20Sep%202024%2018:16:14%20GMT	http://localhost:8080/robots.txt		(from )
21:16:16	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2030%20Sep%202024%2018:16:15%20GMT	http://localhost:8080/	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/index.html	(from )
21:16:16	18954/18954	---M--	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2018:16:16%20GMT	http://localhost:8080/en/	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/en/index.html	(from http://localhost:8080/)
21:16:17	4736/4736	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/favicon.png	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/favicon.png	(from http://localhost:8080/en/)
21:16:18	4277/4277	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/apple-icon.png	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/apple-icon.png	(from http://localhost:8080/en/)
21:16:19	37413/37413	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/css/fontAwesome.css	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/css/fontAwesome.css	(from http://localhost:8080/en/)
21:16:20	30746/30746	---M--	200	added ('OK')	text/css	date:Mon,%2030%20Sep%202024%2007:23:53%20GMT	http://localhost:8080/static/home/css/templatemo-style.css	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/css/templatemo-style.css	(from http://localhost:8080/en/)
21:16:21	3630/3630	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/css/custom-styles.css	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/css/custom-styles.css	(from http://localhost:8080/en/)
21:16:22	113498/113498	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/css/bootstrap.min.css	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/css/bootstrap.min.css	(from http://localhost:8080/en/)
21:16:24	22046/22046	---M--	200	added ('OK')	text/css	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/css/bootstrap-theme.min.css	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/css/bootstrap-theme.min.css	(from http://localhost:8080/en/)
21:16:24	817/817	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/en.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/en.svg	(from http://localhost:8080/en/)
21:16:25	478/478	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/ar.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/ar.svg	(from http://localhost:8080/en/)
21:16:26	340/340	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/fr.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/fr.svg	(from http://localhost:8080/en/)
21:16:27	401/401	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/tr.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/tr.svg	(from http://localhost:8080/en/)
21:16:28	229/229	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/de.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/de.svg	(from http://localhost:8080/en/)
21:16:29	92800/92800	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/es.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/es.svg	(from http://localhost:8080/en/)
21:16:30	219/219	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/pl.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/pl.svg	(from http://localhost:8080/en/)
21:16:31	8672/8672	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/pt.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/pt.svg	(from http://localhost:8080/en/)
21:16:32	273/273	---M--	200	added ('OK')	image/svg+xml	date:Sun,%2029%20Sep%202024%2012:15:23%20GMT	http://localhost:8080/static/home/img/icons/flags/hu.svg	/home/lofa/Desktop/baking/dentidelil/website_backup/localhost_8080/static/home/img/icons/flags/hu.svg	(from http://localhost:8080/en/)
